Marqaa gubataa, nama hubataatu arga.
Warri Israa'el Hazoor isa Iyaasuun ibiddaan gube duwwaa malee, mandaroota warra iddoo warra dura diigamanii irratti ijaaraman hundumaa keessaa tokko iyyuu hin gubne.
Israa'eloonni horii qe'ee, waan mandara sana keessaa booji'an hundumaa in fudhatan; garuu namoota, waan hafuura baafatu hundumaas tokko illee utuu hin hambisin billaadhaan rukutanii in balleessan.
Waaqayyo Musee garbicha isaa akkuma abboome, Museen immoo Iyaasuu in abboome; Iyaasuunis wanta Waaqayyo Musee abboome hundumaa in hojjete malee, tokko illee hin hambifne.
Iyaasuun yommus biyya kana hundumaa biyya gaaraa, biyya gara mirgaa hundumaa, guutummaa biyya Gooshen, biyya dachaa fi biyya Arabaayi, biyya gaaraa isa kan Israa'el dachaa isaa wajjin in fudhate.
Inni tulluu Halaak isa gara Se'iiritti ol ka'uu hamma Ba'aal-Gaadi isa tulluu Hermoon jala dachaa Liibaanon keessa jirutti, mootota isaanii hundumaa booji'ee, rukutee isaan in ajjeese.
Iyaasuun mootota kana hundumaa yeroo dheeraa in lole.
Hiiwota warra mandara Giibe'on keessa jiraatan irraa kan hafe, mandarri Israa'elootaa wajjin nagaa buuse hin turre; Israa'eloonni hunduma isaanii lolanii in fudhatan.
Akka isaan Israa'elootaa wajjin wal lolanii raawwatanii badaniif Waaqayyo mata-jabeeyyii isaan in godhe; Iyaasuun akkuma Waaqayyo Musee abboome akka isaan balleeffaman malee, oo'i akka itti hin argisiifamne in godhe.
Iya. Maqaan mootota biyya warra Israa'eloonni biyya Yordaanos irraa gara ba'a-biiftuutti, dachaa Aarnonii hamma tulluu Hermoonitti, guutummaa Arabaayi gara ba'a-biiftuutiin rukutanii qabatanii kanatti fufee jira;
Sihoon mootiin Amoorotaa mandara Heshboon keessa jiraate; inni mandara Aro'er isa qarqara dachaa Aarnonii, dachaa sana keessa walakkaa Giil'aadii kaasee, hamma laga Yaaboq isa daarii ijoollee Amoonitti;
karaa gara ba'a-biiftuu Arabaayii hamma galaana Kenerootitti; karaa Bet-Yeshiimoot immoo hamma galaana Arabaayii fi galaana soogiddaatti; karaa mirgaatiin immoo hamma tulluu Phiisgaa jalaatti mo'ee ture.
Haftee warra Refaa'otaa keessaa Oog mootiin Baashaan isa mandara Ashtaarotii fi Edraayin jiraachaa ture; biyyi mootummaa isaa immoo,
tulluu Hermoonii fi Saalkaan guutummaa biyya Baashaanii hamma daarii Geshuurotaatii fi Ma'akaatotaatti; walakkaa Giil'aadii hamma daarii Sihoon mootii Heshboonitti ture.
Yeroo Museen garbichi Waaqayyoo fi Israa'eloonni isaan rukutan, Museen garbichi Waaqayyoo immoo biyya isaanii sanyii Ruubenii fi sanyii Gaadiif, sanyii Minaasee isa walakkaa gosaatiifis kennee ture.
Mootonni biyya warra Iyaasuunii fi Israa'eloonni laga Yordaanos irraa gara lixa-biiftuutti, Ba'aal-Gaadi isa dachaa Liibaanon keessa jiru jalqabee hamma tulluu Halaak isa gara Se'iiritti ol ka'utti mo'anii qabatan warra kanatti fufanii jiranii dha; Iyaasuun yommus warri Israa'el biyya isaanii akka hirmaata gosa gosa isaaniitti qabeenya isaanii akka godhataniif in kenneef.
Biyyi inni isaaniif kennes, biyya gaaraa, biyya dachaa, Arabaayi, biyya irraan-gadee tullootaa, biyya lafa onaa, biyya gara mirgaa, biyya Heetotaa, biyya Amoorotaa, biyya Kana'aanotaa, biyya Pheriizotaa, biyya Hiiwotaa fi Yibusootaa ture.
Yeroo Iyaasuun dulloomee lafa guuretti Waaqayyo isatti in dubbate; inni, "Ati amma dulloomtee lafa guurteetta, garuu biyyi hin qabamin jiru immoo amma iyyuu baay'ee dha.
"Biyyi hin qabamin jiru isa kanatti fufe jiruu dha; biyya Filisxeemotaa fi biyya Geshuurotaa,
laga Shiihor isa Gibxiitii gara ba'a-biiftuu jiru ka'ee hamma biyya Eqroon isa gara bitaatti kan jiran hundinuu biyya Kana'aanitti lakkaa'amu; biyyi mootota Filisxeemotaa shanan, Gaazaan, Ashdood, Ashqalon, Gaat, Eqroonii fi Aawonni isaanuma kana duukaa jiru.
Karaa gara mirgaa immoo biyya Kana'aanotaa hundumaa fi Araa isa kan Sidoonotaa isa hamma Afeqitti, hamma biyya Amoorotaattis adeemuu dha;
akkasumas biyya Geblootaa, biyya Liibaanon isa gara ba'a-biiftuu jiru hundumaas, Ba'aal-Gaadi isa tulluu Hermoon gajjallaatii jalqabee hamma itti lixa Haamaatitti;
warra biyya gaaraa keessa jiraatan, Liibaanonii jalqabee hamma Misrefot-Maayimitti, warra Sidoon hundumaa ani ofuma kootii Israa'eloota duraa nan ari'a; ati immoo akkuma ani si abboome biyyicha namoota Israa'eliif dhaala godhii hiri!
Ammas biyya kana gosa salganii fi gosa Minaasee keessaa immoo walakkaadhaaf dhaala akka ta'uuf hiriif!" jedhe.
Museen garbichi Waaqayyoo kanaan dura walakkaa gosa Minaasee warra kaaniif, Ruubenii fi Gaadiif biyya dhaala isaanii Yordaanos irraa gara ba'a-biiftuutiin kenneefii ture.
Inni Aro'er isa qarqara laga Aarnon jiruu jalqabee, mandara isa walakkaa dachaa sana keessa jiru, lafa diriiraa isa kan Medebaatii hamma Diibonitti,
mandaroota Sihoon mootii Amoorotaa isa Heshboonitti mo'aa ture hundumaa, hamma daarii warra Amoonotaatti,
Giil'aadii hamma daarii biyya Geshuurotaatti, hamma Ma'aakaatotaatti, tulluu Hermoon hundumaa, Baashaanii hamma Salekaahitti,
biyya mootummaa Oog mootii Baashaan isa haftee warra Refaa'ota warra Museen balleessee biyya irraa fudhate isa Ashtaarotii fi Edraayitti mo'aa ture sanaatti isaaniif kennee ture.
Israa'eloonni warra Geshuurotaa fi warra Ma'akaatotaa biyya keessaa hin baafne; kanaaf warri Geshuurotaa fi warri Ma'akaatotaa hamma har'aatti Israa'eloota gidduu jiraachaa turan.
Aarsaan inni Waaqayyo isa kan Israa'eliif ibiddaan gubamu dhaala sanyii Lewwii waan ta'eef, akkuma Waaqayyo kanaan dura itti dubbatee ture inni sanyii Lewwiitiif dhaala hin kennine.
Museen gosa Ruubeniif akka maatii maatii isaaniitti ga'aa isaanii in kenneef.
mandaroota biyya diriiraa irra jiran hundumaa, biyya mootummaa Sihoon mootii Amoorotaa isa Heshboonitti mo'e, warra Museen warra Miidiyaanii fi warra biyya sana jiran Ewii, Reqem, Zuur, Huur, Rebaa warra Sihoonii wajjin turan sanas rukutee dha;
kana malees, Israa'eloonni Bala'aam ilma Phe'or isa ayyaana-hedu sana warra kaanii wajjin billaadhaan rukutanii in balleessan.
Daariin ijoollee Ruuben hamma qarqara Yordaanositti adeema; mandaroonnii fi gandeen kun sanyii Ruubeniif akka maatii maatii isaaniitti dhaala akka ta'aniif in kennaman.
Biyyi Museen gosa Gaadiif akka maatii maatii isaaniitti kenne warra kanatti fufanii jiranii dha;
biyya Yaazer, mandaroota Giil'aad hundumaa, walakkaa biyya Amoonotaa hamma Aro'er isa fuullee Raabaatti,
Heshboonii hamma Raamaat-Miisphaatti, hamma Betoniimitti, Mahanaayimii hamma daarii Deebiritti;
dachaa keessaas Bet-Haraam, Bet-Niimraa, Suukootii fi Zaafon biyya mootummaa Sihoon mootii Heshboon isa hafe, Yordaanosittii gara ba'a-biiftuu biyya daarii galaana Kiineret turanii dha.
Mandaroonni kunii fi gandeen isaanii sanyii Gaadiif akka maatii maatii isaaniitti dhaala akka ta'aniif in kennaman.
Museen walakkaa gosa Minaaseetiif akka maatii maatii isaaniitti kan kenne immoo kanatti fufee jira;
biyya daarii Mahanaayim, guutummaa Baashaan, biyya mootummaa Oog mootii Baashaan, mandaroota jaatama warra Yaa'iir biyya Baashaan keessa jiran,
walakkaan Giil'aad, Ashtaarotii fi Edraayi mandaroota Oog mootii Baashaan; isaan kun kan Maakiir ilma Minaasee ta'anii, walakkaa ilmaan Maakiiriif akka maatii maatii isaaniitti in kennaman.
Biyyi Museen, Yordaanos gama dirree Mo'aabitti fuullee Yerikoo karaa gara ba'a-biiftuutiin dhaala godhee hire isaan kana.
Waaqayyo gooftaan inni kan Israa'el akkuma isaanitti dubbatee ture, ofii isaatii dhaala waan isaaniif ta'eef, Museen sanyii Lewwiitiif immoo dhaala hin kennine.
Iya. Biyyi inni Ele'azaar lubichi, Iyaasuun ilmi Nunii fi warri dura-buutuun gosoota Israa'elootaa, biyya Kana'aan keessaa Israa'elootaaf dhaala godhanii hiran kanatti fufee jira;
dhaala sanas akka Waaqayyo Musee abboometti, gosoota sagalii fi walakkaa gosaaf muka buusanii in hiran.
Museen gosa lamaanii fi isa walakkaadhaafis Yordaanos gamaan karaa ba'a-biiftuu dhaala kenneefii ture; garuu sanyii Lewwiitiif warra sana gidduudhaa dhaala hin kennineef.
Ilmaan Yoseef, Minaasee fi Efreem gosa lama ta'an; sanyiin Lewwii garuu mandaroota keessa jiraatanii fi iddoo horii isaanii dheechifatan duwwaa qabeenya isaanii godhatan malee, biyyasii dhaala hin arganne.
Israa'eloonni akkuma Waaqayyo Musee abboometti laficha in hiran.
Ergasii gosa Yihudaa keessaa namoonni Giilgalitti Iyaasuu bira in dhufan; isaan keessaa Kaaleb ilmi Yofunee inni Qenazichi Iyaasuutti in dubbate; inni, "Dubbii Waaqayyo Qaadesh-Barne'aatti waa'ee kootii fi waa'ee kee Musee nama Waaqayyootti dubbate ati in beekta.
Yeroo Museen garbichi Waaqayyoo, Qaadesh-Barne'aadhaa dhaqee akka ani biyyicha gaaduuf na erge, ani nama waggaa afurtamaan ture; ani deebi'een wantan yaadatti qabadhe isatti hime.
Obboloonni koo warri anaa wajjin achi dhaqan illee garaa namootaa in sodaachisan; ani garuu raawwadheen Waaqayyo gooftaa koo duukaa bu'e.
Museen yeroo sana kakatee, 'Ati guutummaatti Waaqayyo gooftaa koo duukaa waan buuteef, biyyi ati miilla keetiin irra ejjettu siif, ijoollee keetiifis bara baraan dhaala in ta'a' jedheera.
Amma kunoo, Waaqayyo akkuma waggaa afurtamii shan dura namoonni Israa'el lafa onaa keessa adeemaa utuu jiranii Museetti dubbatee ture, jireenyatti na eegeera; kunoo, ani har'a nama waggaa saddeettamii shanii ta'eera.
Ani amma iyyuu akkuma gaafa Museen na erge sanaa cimaa dha, ciminatti, lolatti, gad ba'ee ol galuuttis akkuman dur ture sana.
Egaa biyya gaaraa isa Waaqayyo na abdachiise sana anaaf kenni! Warri Aanaaqotaa achi akka jiran mandaroonni isaaniis dallaa cimaa akka qaban ati iyyuu gaafas dhageesseetta; garuu Waaqayyo yoo ana gargaare ani akkuma inni jedhe achii isaan nan baasa" jedhe.
Ergasii Iyaasuun, Kaaleb ilma Yofunee eebbisee Kebroonin dhaala godhee in kenneef.
Kaaleb ilmi Yofunee inni Qenazichi guutummaatti Waaqayyo gooftaa isa kan Israa'el duukaa waan bu'eef, Kebroon hamma har'aatti iyyuu kan isaa ta'ee hafe.
Maqaan Kebroon dur "Kiriiyat-Arbaa" jedhama ture; "Arbaa" kan jedhamu kun immoo namoota warra Aanaaqota keessaa nama guddaa ture. Kana booddee biyyichi lolattii in boqote.
Iya. Gosa Yihudaaf akka maatii maatii isaaniitti biyyi hamma daarii Edoomitti, gara mirgaatiin immoo Siin lafa onaadhaa hamma dhuma daarii gara mirgaatti jiru buufata mukaatiin in kennameef.
Karaa gara mirgaa immoo daariin isaanii galaana soogiddaa fi arraba galaanaa isa gara mirgaa jiruu dha.
Achiis darbee karaa Aqrabiim Siinitti darbee Qaadesh-Barne'aa irraa gara mirgaatti adeemee, gara Hezronitti darbee immoo Hadariin ga'ee gara Qarqaatti naanna'a.
Gara Azmoonitti darbee immoo hamma laga Gibxiitti adeemee, galaana bira ga'ee in dhaabata; daariin isaanii karaa gara mirgaa isa kana.
Karaa gara ba'a-biiftuu immoo daariin isaanii galaana soogiddaatii ka'ee, hamma Yordaanos galaanatti bu'utti in adeema; karaa gara bitaas daariin isaanii arraba galaanichaatii lafa Yordaanos galaanatti bu'u ka'ee,
gara Bet-Hoglaatti ol ka'ee bitaa Bet-Arabaa irra ba'ee hamma dhagaa Bohan ilma Ruubenitti in adeema.
Akkasumas dachaa Akorii hamma Deebiritti adeemee, gara bitaatiin Giilgal isa fuullee Adumiim irra gara mirga lagichaatti in jal'ata; itti fufees laga En-Shemesh irra ba'ee laga En-Rogeelitti in dhuma.
Itti aanees daariin kun dachaa ijoollee Hiinom keessa ba'ee gara mirgaatiin irraan-gadee warra Yibusootaa irra (kunis Yerusaalem irra) in ba'a; achii ka'ee immoo karaa gara bitaa dhuma dachaa Refaa'iim irra ba'ee, karaa gara lixa-biiftuutiin gubbee tulluu isa fuullee Hiinom jirutti ol ba'a.
Kana booddee immoo gubbee tullichaa irraa gara laga Nefto'aatti jal'atee achii immoo gara mandaroota warra tulluu Efron irra jiranii dhufee gara Baalaatti (kunis Kiriiyat-Ya'ariimitti) in jal'ata.
Baalaa irraas ka'ee gara lixa-biiftuu irra marfatee, gara tulluu Se'iir in dhufa; karaa gara bitaatiinis irraan-gadee tulluu Ya'ariim irra (kunis Kesaalon irra) gara Bet-Shemesh dhaqee Tiimnaatti in ce'a.
Gara bitaatiinis irraan-gadee Eqroon irra ba'ee gara Shiqeroonitti jal'ata; tulluu Baalaa bukkee darbee immoo Yaabnelin dhaqee, galaana bira ga'ee in dhuma.
Karaa gara lixa-biiftuu immoo hamma daarii galaana isa guddaatti adeema; egaa daariin ijoolleen Yihudaa akka maatii maatii isaaniitti naannessanii qabatan isaan kana.
Yommus Iyaasuun akkuma Waaqayyo isa abboometti biyya ijoollee Yihudaa keessaa Kiriiyat-Arbaa isa "Kebroon" jedhamu Kaaleb ilma Yofuneef qooda godhee in kenne; "Arbaa" kun immoo abbaa warra Aanaaqotaa ti.
Kaaleb Aanaaqota sadii, Sheshaayin, Ahimaanii fi Talmaayin achi keessaa in baase; isaan immoo sanyii Aanaaqotaa turan.
Achiis ka'ee warra Deebiriin jiran loluu dhaqe; (Deebir dur "Kiriiyat-Sefer" jedhama).
Kaaleb, "Nama mandara Sefer rukutee qabatuuf intala koo ishee 'Aksaa' jedhamtu nan kenna" jedhe.
Otnii'el ilmi Qenaz obboleessa Kaaleb mandaricha in qabate; Kaalebis intala isaa Aksaa itti in heerumsiise.
Isheen Otnii'el bira yommuu dhufte inni abbaa ishee biraa maasii akka isheedhaaf kadhatuuf isa giddisiifte; yeroo isheen harree irraa buutes Kaaleb, "Maal feeta?" isheedhaan jedhe.
Yommus isheen deebiftee, "Na eebbisi! Erga biyya gara mirgaa anaaf kennitee, burqaa bishaaniis anaaf kenni!" jette; kana irratti inni burqaa isa gararraa fi isa gajjallaa in kenneef.
Maaraat, Bet-Anoot, Elteqon, mandaroota ja'aa fi gandeen isaanii
Kiriiyat-Ba'aal (isa "Kiriiyat-Ya'ariim" jedhamu), Raabaa, mandaroota lamaa fi gandeen isaanii;
lafa onaa keessaa immoo Bet-Araabaa, Mediin, Sekaakaa,
Nibishaan, mandara soogiddaa, En-Gedii, mandaroota ja'aa fi gandeen isaanii.     
Ijoolleen Yihudaa Yibusoota warra Yerusaalemin jiraachaa turan achii baasuu hin dandeenye; hamma har'aatti iyyuu warri Yibusootaa ijoollee Yihudaa wajjin Yerusaalem keessa taa'u.
Iya. Daariin biyya ijoollee Yoseef, Yordaanosii ka'ee, karaa gara ba'a-biiftuu burqaa Yerikoo keessa ba'ee, karaa lafa onaa hamma biyya gaaraa isa kan Bet'elitti in adeema;
Bet'elii ka'ee immoo Luziin dhaqee karaa daarii warra Arkaawotaa darbee, hamma biyya Ataarotitti in adeema.
Itti fufees gara lixa-biiftuutti goree, karaa daarii biyya warra Yaaflexootaa gara daarii Bet-Horoon isa gara gadii dhaqee, Gezeritti darbee galaana bira ga'ee in dhuma.
Ijoolleen Yoseef, Efreemii fi Minaaseen dhaala in fudhatan.
Biyyi sanyiin Efreem akka maatii maatii isaaniitti argatan kanatti fufee jira; biyyi dhaala isaanii karaa gara ba'a-biiftuu Ataarot-Adaarii hamma Bet-Horoon isa gararraatti adeemee, galaana bira in ga'a; karaa gara bitaas Mikmaataat ga'ee gara ba'a-biiftuutti jal'atee gara Taanaat-Shiiloo dhufee, achi irras darbee karaa gara ba'a-biiftuutti Yaano'aa in dhufa.
Yaano'aadhaa ka'ee gara Ataarotii fi Na'aaratitti darbee Yerikoo bira ga'ee Yordaanositti in dhuma.
Taafu'aadhaa ka'ee immoo karaa gara lixa-biiftuu gara laga Qaanaa dhufee, hamma galaanaatti adeemee in dhuma; dhaalli sanyiin Efreem akka maatii maatii isaaniitti argatan isa kana.
Kunis mandarootaa fi gandeen warra biyya gosa Minaasee keessaa gosa Efreemiif kophaatti baafamanii kennaman hundumaa dabalatee ti.
Yommus jarri warra Kana'aanotaa warra Gezeriin jiran achii hin ariine; warri Kana'aanotaa hamma har'aatti iyyuu isaanuma gidduu jiraatanii giddisiifamanii hojii humnaa isaaniif hojjechaa jiru.
Iya. Gosa Minaasee ilma Yoseef keessaa isa angafa, isa "Maakiir abbaa Giil'aad" jedhamuuf qoodni kennamuudhaaf mukti in buufameef; Maakiir kun lolatti jabaa waan tureef, biyya Giil'aadii fi Baashaanin in argate.
Qoodni kun ijoollee dhiiraa Minaasee warra kaan, ilmaan Abii'ezer, ilmaan Helek, ilmaan Asrii'el, ilmaan Sheekem, ilmaan Hefer, ilmaan Shemedaafis buufata mukaatiin in kennameef; isaan kun akka maatii maatii isaaniitti ijoollee Minaasee ilma Yoseef warra dhiiraa ti.
Zelofehaad ilmi Hefer, akaakkayyuun Giil'aad, abbaabayyuun Maakiir Minaasee garuu ijoollee durbaa malee, ijoollee dhiiraa hin qabu ture; maqaan isaaniis Maahilaa, No'aa, Hoglaa, Miilkaa fi Tiirzaa ture.
Isaan gara Ele'azaar lubichaa, gara Iyaasuu ilma Nunii fi gara angafootaa dhufanii, "Museen obboloota keenya gidduudhaa dhaala akka nuu kennuuf Waaqayyo isa abboomeera" jedhan; kanaaf Iyaasuun akka Waaqayyo abboometti obboloota abbaa isaanii gidduudhaa dhaala isaaniif in kenne;
biyya Baashaanii fi Giil'aad warra Yordaanos gamaa sana malee, Minaaseen qooda kudhan argate.
Kunis immoo gosi Minaasee warri durbaas obboloota isaanii gidduudhaa dhaala waan argataniif ta'e; biyya Giil'aad garuu gosa Minaasee warra kaantu fudhate.
Daariin Minaasee Asheerii ka'ee Mikmaataat isa Sheekem irraa gara ba'a-biiftuu jiru bira ga'a; achii ka'ee immoo gara mirgaatti adeemee biyya warri En-Taafu'aa keessa jiraatan in dabalata.
Biyyi Taafu'aa kan Minaasee ta'e, mandarri Taafu'aa inni karaa daarii Minaasee jiru garuu kan ijoollee Efreem ta'e.
Ammas daarichi gara mirgaatiin gara laga Qaanaatti gad in bu'a; mandaroonni Efreem kun mandaroota Minaasee gidduu jiru; karaa tokko immoo daariin Minaasee lagichattii gara bitaa irra ba'ee galaana bira ga'ee dhuma.
Lafichi karaa gara mirgaa kan Efreem, karaa gara bitaa immoo kan Minaasee ti; daariin Minaasee hamma galaanaatti adeemee karaa gara bitaa daarii Asheeritti dhuma; karaa ba'a-biiftuu immoo daarii Yisaakor ga'ee dhuma.
Biyya Yisaakorii fi Asheer keessaas Bet-Shaanii fi gandeen isaa, Yible'aamii fi gandeen isaa, warri mandara Doorii fi gandeen isaa keessa jiraatan, Endoorii fi gandeen isaa, warri Ta'anaa fi Megidoo jiraatanii fi gandeen naannoo isaanii jiran hundinuu kan Minaasee ti; isaanis biyya sadii.
Warri Kana'aanotaa garuu biyya sana keessa taa'uudhaaf kutatanii waan ka'aniif, ijoolleen Minaasee mandaroota sana qabachuu hin dandeenye.
Israa'eloonni garuu erga jabaatanii booddee warri Kana'aanotaa giddisiifamanii hojii humnaa akka isaaniif hojjetan godhan malee, raawwatanii biyya sanaa isaan hin baafne.
Ijoolleen Yoseefis yommus Iyaasuudhaan, "Maaliif nuuf mukti tokkichi duwwaan buufame? Nu'oo baay'ee dhaa Waaqayyos guddaa nu eebbiseera, maaliifis qoodni tokkichi duwwaan nuuf kenname?" jedhan.
Kana irratti Iyaasuun, "Isin baay'ee yoo taatan, biyyi gaaraa inni kan Efreemis yoo isinitti dhiphateef, gara biyya Pheriizotaa fi Refaa'otaa dhaqaatii caakkaa isaa ciraa lafa baafadhaa!" jedhee isaaniif in deebise.
Ijoolleen Yoseef immoo deebisanii, "Biyyi gaaraa sun nu hin ga'u; Kana'aanonni warri lafa diriiraa irra jiraatan hundinuu konkolaataa sibiilaa qabu, warri Bet-Shaan jiraatan, warri ollaa isaaniis warri dachaa Yizre'el jiraatanis akkasuma qabu" jedhan.
Ammas Iyaasuun namoota Yoseef, namoota Efreemii fi namoota Minaaseetiin, "Isin baay'ee dha, jajjaboo dhas; qoodni tokko duwwaan isin hin ga'u;
kanaaf biyyi gaaraa inni caakkaa qabus kan keessan haa ta'u! Inni caakkaa waan ta'eef, caakkaa isaa ciraatii hamma dhuma daarii isaatti fudhadhaa! Warri Kana'aanotaa konkolaataa sibiilaa yoo qabaatan iyyuu, jaboo yoo ta'anis achii isaan in ariitu" jedhe.
"Gaafas isin ibiddi tullicha irraa utuu boba'uu dukkana keessaa sagalee yommuu dhageessan, dura-buutonni gosa keessanii hundinuu maanguddoonni keessanis na bira dhufanii,
'Kunoo, Waaqayyo gooftaan keenya ulfina isaa fi guddina isaa nu argisiiseera, nuyis ibiddicha gidduudhaa sagalee isaa dhageenyeerra; Waaqayyo namatti dubbatee, nama utuu hin du'in hafu, nuyi har'a argineerra.
Ammas deebinee sagalee Waaqayyo gooftaa keenyaa yoo dhageenye nuyi in duuna, ibiddi guddaan kunis xaph nu godha, egaa maaliif dhumna ree?
Nama foon uffate hundumaa keessaa eenyutu Waaqayyo inni jiraataan ibidda gidduudhaa utuu dubbatuu dhaga'ee, akka keenya kana utuu hin du'in hafe ree?
Ati itti dhi'aadhuu waan Waaqayyo gooftaan keenya jedhu hundumaa dhaga'i, wanta Waaqayyo gooftaan keenya sitti dubbatu hundumaas nutti himi! Nuyi in dhageenya, in abboomamnas' jettan.
"Waaqayyo dubbii isin anatti dubbattan kana yommuu dhaga'e, inni anaan, 'Isa jarri kun sitti dubbatan dhaga'eera:- Isaan wanta dubbatan hundumaa ba'eessa dubbatan.
Isaaniif ijoollee isaaniifis bara baraan gaarii akka ta'uuf, ana sodaachuudhaaf, abboommii koo hundumaas eeguudhaaf yeroo hundumaa garaa akkasii utuu qabaatanii attam gaarii dha!
Ammas dhaqiitii:- Godoowwan keessanitti deebi'aa isaaniin jedhi!
Ati garuu deebi'ii as na bira dhaabadhu, anis abboommota, seerrata, waan qajeelaa ta'e hundumaas sitti nan hima; ati immoo biyya ani akka isaan qabataniif isaaniif kennu keessatti isa akka eeganiif isaan in barsiifta' jedhe.
